iter	Recall	Logloss
113	0.9954355268	0.07667179966
114	0.9953087359	0.07588328725
115	0.9955623177	0.07438926714
116	0.9955623177	0.07388665197
117	0.9955623177	0.07276856548
118	0.9959426905	0.07183502115
119	0.9958158996	0.07111047018
120	0.9960694814	0.07028254771
121	0.9960694814	0.06946928401
122	0.9965766451	0.06884660708
123	0.9965766451	0.06765160748
124	0.996830227	0.06697296201
125	0.996703436	0.06615091538
126	0.9969570179	0.06532463007
127	0.996830227	0.06440642151
128	0.9969570179	0.06366413586
129	0.9969570179	0.06253707853
130	0.9972105997	0.06150018927
131	0.9972105997	0.06085492993
132	0.9970838088	0.05986431347
133	0.9973373906	0.05927946538
134	0.9973373906	0.05855599493
135	0.9972105997	0.05789152838
136	0.9973373906	0.05706997439
137	0.9978445543	0.05651487015
138	0.9979713453	0.05605871736
139	0.9979713453	0.05497223461
140	0.9982249271	0.05448274089
141	0.9982249271	0.05383444573
142	0.9982249271	0.05337403542
143	0.9982249271	0.05270984749
144	0.9980981362	0.05211666109
145	0.998351718	0.05164795155
146	0.9984785089	0.05107094141
147	0.9980981362	0.05058245813
148	0.9982249271	0.05017198476
149	0.9982249271	0.04951616656
150	0.9982249271	0.04897032332
151	0.9980981362	0.04844767955
152	0.998351718	0.04783503291
153	0.998351718	0.04734863222
154	0.998351718	0.04685714782
155	0.998351718	0.04620733711
156	0.9986052999	0.04553962376
157	0.9987320908	0.04527668147
158	0.9987320908	0.0446113457
159	0.9989856726	0.04434824849
160	0.9989856726	0.0437091894
161	0.9992392545	0.0433456518
162	0.9989856726	0.04266177953
163	0.9991124635	0.04219848913
164	0.9992392545	0.04181261949
165	0.9992392545	0.04128709336
166	0.9993660454	0.04095648717
167	0.9993660454	0.04045484125
168	0.9993660454	0.04002898408
169	0.9993660454	0.03949465874
170	0.9994928363	0.03897964939
171	0.9992392545	0.03863179305
172	0.9993660454	0.03816202842
173	0.9997464182	0.03769435977
174	0.9997464182	0.03721809947
175	0.9997464182	0.0367971871
176	0.9997464182	0.03635709473
177	0.9997464182	0.03597815516
178	0.9997464182	0.03565528062
179	0.9997464182	0.03538584982
180	0.9997464182	0.03504690986
181	0.9997464182	0.0347494462
182	0.9997464182	0.03444563318
183	0.9997464182	0.03405634875
184	0.9997464182	0.03360634788
185	0.9997464182	0.03342506752
186	0.9997464182	0.03305960568
187	0.9997464182	0.03274222923
188	0.9997464182	0.03242741797
189	0.9997464182	0.03208602082
190	0.9997464182	0.03175744267
191	0.9997464182	0.03151175544
192	0.9997464182	0.03132999673
193	0.9997464182	0.0309018152
194	0.9997464182	0.03045657877
195	0.9997464182	0.03014960533
196	0.9997464182	0.02983025882
197	0.9998732091	0.02942409095
198	0.9997464182	0.02914044825
199	0.9997464182	0.02880623352
